"taxon","lfc","diff"
"Family:Peptostreptococcaceae",2.14744042183494,TRUE
"Genus:Campylobacter",-1.99857378156879,TRUE
"Genus:Staphylococcus",1.99358761021784,TRUE
"Genus:Firmicutes oral clone FM046",1.70119034630365,TRUE
