"taxon","lfc","diff"
"Rothia",-2.25561640560232,TRUE
"Neisseria",-1.60451402856736,TRUE
"Veillonella",-1.27586393625275,TRUE
"Fusobacterium",-1.19230332949604,TRUE
"Gemella",-1.03839497504284,TRUE
"Stomatobaculum",-0.799070369892308,TRUE
